"LOCATION","Country","SUBJECT","Subject","GEO_COVERAGE","Geographical coverage","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","GY","Percentage change on the same period of the previous year","A","Annual","2012","2012","PC","Percentage","0","Units",,,1.862762086,,
"BEL","Belgium","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","GY","Percentage change on the same period of the previous year","A","Annual","2013","2013","PC","Percentage","0","Units",,,3.747168591,,
"BEL","Belgium","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","GY","Percentage change on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,-2.117456857,,
"BEL","Belgium","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","GY","Percentage change on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,4.529180239,,
"BEL","Belgium","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","GY","Percentage change on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,3.48678211,,
"BEL","Belgium","RPNW01","RPPI - Sales of newly-built dwellings; all types of dwellings","CN","Whole country","GY","Percentage change on the same period of the previous year","A","Annual","2017","2017","PC","Percentage","0","Units",,,4.276078105,,
"BEL","Belgium","RPEX01","RPPI - Sales of existing dwellings; all types of dwellings","CN","Whole country","GY","Percentage change on the same period of the previous year","A","Annual","2011","2011","PC","Percentage","0","Units",,,4.07777045,,
"BEL","Belgium","RPEX01","RPPI - Sales of existing dwellings; all types of dwellings","CN","Whole country","GY","Percentage change on the same period of the previous year","A","Annual","2012","2012","PC","Percentage","0","Units",,,2.357561401,,
"BEL","Belgium","RPEX01","RPPI - Sales of existing dwellings; all types of dwellings","CN","Whole country","GY","Percentage change on the same period of the previous year","A","Annual","2013","2013","PC","Percentage","0","Units",,,0.324603907,,
"BEL","Belgium","RPEX01","RPPI - Sales of existing dwellings; all types of dwellings","CN","Whole country","GY","Percentage change on the same period of the previous year","A","Annual","2014","2014","PC","Percentage","0","Units",,,-0.054067063,,
"BEL","Belgium","RPEX01","RPPI - Sales of existing dwellings; all types of dwellings","CN","Whole country","GY","Percentage change on the same period of the previous year","A","Annual","2015","2015","PC","Percentage","0","Units",,,0.619239953,,
"BEL","Belgium","RPEX01","RPPI - Sales of existing dwellings; all types of dwellings","CN","Whole country","GY","Percentage change on the same period of the previous year","A","Annual","2016","2016","PC","Percentage","0","Units",,,2.279426656,,
"BEL","Belgium","RPEX01","RPPI - Sales of existing dwellings; all types of dwellings","CN","Whole country","GY","Percentage change on the same period of the previous year","A","Annual","2017","2017","PC","Percentage","0","Units",,,3.432652799,,
"BEL","Belgium","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","GP","Percentage change from previous period","A","Annual","2011","2011","PC","Percentage","0","Units",,,4.020672616,,
"BEL","Belgium","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","GP","Percentage change from previous period","A","Annual","2012","2012","PC","Percentage","0","Units",,,2.234301666,,
"BEL","Belgium","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","GP","Percentage change from previous period","A","Annual","2013","2013","PC","Percentage","0","Units",,,1.174084573,,
"BEL","Belgium","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","GP","Percentage change from previous period","A","Annual","2014","2014","PC","Percentage","0","Units",,,-0.550648772,,
"BEL","Belgium","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","GP","Percentage change from previous period","A","Annual","2015","2015","PC","Percentage","0","Units",,,1.608461932,,
"BEL","Belgium","RP0101","RPPI - Sales of newly-built and existing dwellings; all types of dwellings","CN","Whole country","GP","Percentage change from previous period","A","Annual","2016","2016","PC","Percentage","0","Units",,,2.640656935,,
